WARD_NO,WARD_NAME,latitude,longitude
626553,Palanichettipatti,9.61,77.7433
626562,Tamaraikulam,9.61,77.7433
626566,Chellanpatti,9.61,77.7433
626571,Uppukottai,9.61,77.7433
626601,Devadanapatti,10.15,77.65
626704,T Pudupatti,9.61,77.7433
626716,M Puliyangulam,9.61,77.7433
627001,Kailasapuram Tvl,8.6854,77.6146
627002,Samadanapuram,8.6854,77.6146
627007,Jawahar Nagar,8.6854,77.6146
627008,Gandhi Nagar Tirunelveli,8.6854,77.6146
627010,Industrial Colony Pettai,8.6854,77.6146
627101,Dhalapathisamudram,8.2667,77.7
627104,Idinthakarai,8.2667,77.7
627111,Radhapuram,8.2667,77.7
627116,Vadakkankulam,8.2667,77.7
627121,Palavoor,8.2667,77.7
627128,Rajakkamangalam,8.2667,77.7
627129,Ramakrishnapuram,8.2667,77.7
627202,Ukkiramkottai,8.6854,77.6146
627251,Ellanaickenpatti,8.6854,77.6146
627253,Kaliavoor,8.6854,77.6146
627352,Gangaikondan,8.85,77.7833
627358,Tachanallur,8.85,77.7833
627359,Rajavallipuram,8.85,77.7833
627360,Taruvai,8.3333,77.9333
627414,Cheranmahadevi,8.6833,77.5667
627415,Kadayam,8.8167,77.3833
627434,Aladiyur,8.75,77.475
627451,Goapalasamudram,8.75,77.475
627501,Kalakad,8.5,77.5667
627502,Devanallur,8.5,77.5667
627603,Vadakku Ariyanayagipuramp,8.6854,77.6146
627702,Lakshmipuram Kovilpatti,9.0833,77.35
627712,Eppodumvendran,9.0833,77.35
627713,Ilayasasanendal,9.0833,77.35
627714,Kadambur (Tvl),9.0833,77.35
627716,Nallatinputhur,9.0833,77.35
627723,Ilavengal,9.0833,77.35
627725,Kadalai,9.0833,77.35
627727,East Pandavarmangalam,9.0833,77.35
627751,Kadayanallur,9.0833,77.35
627762,Vadamalaipuram,9.0833,77.35
627801,Achanputhur,8.6854,77.6146
627803,Elathur,8.6854,77.6146
627804,Idaikal (Tenkasi),8.6854,77.6146
627805,Ilanji,8.6854,77.6146
627812,Vadakarai Koilpatti,8.6854,77.6146
627820,Nainaragaram,8.6854,77.6146
627821,Idaikal Ambasamudram,8.6854,77.6146
627822,Rajapandi,8.6854,77.6146
627856,Samburvadakarai,8.6854,77.6146
627860,Uthumalai,8.6854,77.6146
627902,Naduvisipatli,8.95,77.6333
627904,Nagalapuram,8.95,77.6333
627912,Ramachandrapuram,8.95,77.6333
627951,Devarkulam,8.95,77.6333
628002,Gibbsonpuram,8.6333,78.0167
628003,Central Govt Servants Cly,8.6333,78.0167
628007,Heavy Water Project Colony,8.6333,78.0167
628105,Taruvaikulam,8.6333,78.0167
628215,Devasthanam,8.6333,78.0167
628217,Adaikalapuram,8.6333,78.0167
628302,Ottanatham,8.6333,78.0167
628304,Tattaparai,8.6333,78.0167
628309,Akkanaickenpatti,8.6333,78.0167
628401,Ottapidaram,8.6333,78.0167
628614,Campellabad,8.6333,78.0167
628619,Padmanabhamangalam,8.6333,78.0167
628626,Kachanvilai,8.6333,78.0167
628627,Cherakulam,8.6333,78.0167
628651,Idaiyankudi (Tvl),8.6333,78.0167
628652,Ittamozhi,8.6333,78.0167
628658,Uvari,8.6333,78.0167
